"threshold","estimate","conf.low","conf.high"
5,-2.17341565923406,-4.86869784462818,0.521866526160054
10,-1.78931927023244,-3.48493181483525,-0.0937067256296189
15,-1.78195590488283,-3.29164175703135,-0.272270052734316
20,-2.11264217981453,-3.48869545166546,-0.736588907963595
25,-2.24409325048987,-3.65420854864448,-0.833977952335262
